Designator,Mid X,Mid Y,Rotation,Layer
C1,183.134,-130.937,90.0,top
C10,195.326,-130.937,90.0,top
C11,198.252,-77.333,90.0,top
C12,208.031,-56.886,-90.0,top
C13,177.165,-56.515,90.0,top
C14,179.07,-75.057,-90.0,top
C15,188.087,-55.499,180.0,top
C16,188.087,-57.531,180.0,top
C17,164.907,-146.939,180.0,top
C18,164.907,-144.907,180.0,top
C19,217.297,-130.81,90.0,top
C2,219.8157,-130.937,90.0,top
C20,180.721,-127.508,180.0,top
C23,183.134,-135.763,-90.0,top
C24,195.326,-135.763,-90.0,top
C25,160.02,-135.763,-90.0,top
C27,219.8157,-135.763,-90.0,top
C28,199.776,-72.319,-90.0,top
C29,197.617,-72.319,-90.0,top
C3,200.411,-77.333,90.0,top
C4,179.324,-56.515,90.0,top
C5,215.839,-81.27,0.0,top
C6,176.657,-75.057,-90.0,top
C8,205.491,-56.886,-90.0,top
C9,160.02,-130.998,90.0,top
D1,162.687,-142.24,0.0,top
R1,222.8342,-95.3008,90.0,top
R10,196.215,-127.889,0.0,top
R11,161.417,-126.365,0.0,top
R12,184.3385,-123.698,0.0,top
R13,214.63,-125.095,0.0,top
R14,207.899,-126.619,180.0,top
R15,179.6395,-121.285,0.0,top
R16,214.63,-122.682,0.0,top
R17,179.6395,-123.698,0.0,top
R18,172.847,-126.619,180.0,top
R19,207.899,-124.206,180.0,top
R2,197.236,-87.5545,-90.0,top
R3,188.722,-85.725,0.0,top
R4,188.722,-81.153,0.0,top
R5,188.722,-78.994,0.0,top
R6,188.722,-83.439,0.0,top
R7,195.585,-58.791,0.0,top
R8,195.585,-63.871,0.0,top
R9,184.3385,-121.285,180.0,top
U1,165.227,-133.35,0.0,top
U2,211.617,-91.43,-90.0,top
U3,225.171,-133.35,0.0,top
U5,188.341,-133.35,0.0,top
U6,200.533,-133.35,0.0,top
U7,212.09,-133.35,-90.0,top
U8,176.53,-133.164,-90.0,top
